,Date,SKEW,skew_change
7296,2019-01-02,117.26,-0.004584040747028784
7297,2019-01-03,112.22,-0.0429814088350674
7298,2019-01-04,111.44,-0.006950632685795766
7299,2019-01-07,113.56,0.019023689877961214
7300,2019-01-08,115.3,0.015322296583303974
7301,2019-01-09,117.01,0.01483087597571564
7302,2019-01-10,117.72,0.006067857448081249
7303,2019-01-11,119.09,0.011637784573564458
7304,2019-01-14,125.2,0.05130573515828374
7305,2019-01-15,126.87,0.013338658146964777
7306,2019-01-16,131.66,0.03775518247024512
7307,2019-01-17,133.02,0.01032963694364275
7308,2019-01-18,131.19,-0.013757329724853551
7309,2019-01-22,122.82,-0.06380059455751208
7310,2019-01-23,123.88,0.008630516202572824
7311,2019-01-24,130.92,0.05682918953826288
7312,2019-01-25,126.11,-0.03673999388939797
7313,2019-01-28,123.06,-0.024185235112203607
7314,2019-01-29,121.9,-0.009426296115715882
7315,2019-01-30,123.28,0.01132075471698113
7316,2019-01-31,126.53,0.026362751460090816
7317,2019-02-01,126.03,-0.003951632024025931
7318,2019-02-04,128.4,0.018805046417519566
7319,2019-02-05,123.42,-0.038785046728971984
7320,2019-02-06,123.72,0.002430724355858116
7321,2019-02-07,124.45,0.005900420303912135
7322,2019-02-08,127.72,0.02627561269586165
7323,2019-02-11,129.19,0.011509552145317903
7324,2019-02-12,128.6,-0.0045669169440359925
7325,2019-02-13,127.12,-0.011508553654743348
7326,2019-02-14,126.89,-0.0018093140339836555
7327,2019-02-15,129.55,0.020963038852549465
7328,2019-02-19,124.68,-0.03759166345040532
7329,2019-02-20,123.39,-0.010346487006737348
7330,2019-02-21,122.42,-0.007861252937839347
7331,2019-02-22,121.08,-0.010945923868648899
7332,2019-02-25,127.67,0.054426825239511034
7333,2019-02-26,125.53,-0.016761964439570787
7334,2019-02-27,126.44,0.007249263124352812
7335,2019-02-28,126.44,0.0
7336,2019-03-01,126.97,0.004191711483707783
7337,2019-03-04,125.04,-0.015200441049066704
7338,2019-03-05,126.4,0.010876519513755678
7339,2019-03-06,125.8,-0.004746835443038
7340,2019-03-07,123.14,-0.021144674085850523
7341,2019-03-08,125.73,0.02103297060256626
7342,2019-03-11,132.93,0.05726556907659264
7343,2019-03-12,130.17,-0.020762807492665458
7344,2019-03-13,132.57,0.018437427978797105
7345,2019-03-14,130.57,-0.015086369465188154
7346,2019-03-15,128.76,-0.013862296086390447
7347,2019-03-18,127.1,-0.012892202547374887
7348,2019-03-19,123.13,-0.031235247836349345
7349,2019-03-20,120.59,-0.020628603914561783
7350,2019-03-21,120.67,0.0006634049257816521
7351,2019-03-22,117.55,-0.02585563934697943
7352,2019-03-25,117.6,0.00042535091450446316
7353,2019-03-26,117.8,0.001700680272108901
7354,2019-03-27,117.8,0.0
7355,2019-03-28,117.66,-0.0011884550084889645
7356,2019-03-29,120.96,0.02804691483936761
7357,2019-04-01,120.96,0.0
7358,2019-04-02,126.77,0.04803240740740744
7359,2019-04-03,125.96,-0.0063895243354106235
7360,2019-04-04,126.23,0.0021435376309939524
7361,2019-04-05,128.75,0.019963558583538044
7362,2019-04-08,129.13,0.002951456310679612
7363,2019-04-09,127.66,-0.011383876713389585
7364,2019-04-10,127.61,-0.00039166536111545636
7365,2019-04-11,126.23,-0.01081419951414464
7366,2019-04-12,124.22,-0.0159233145844887
7367,2019-04-15,127.69,0.027934310094992698
7368,2019-04-16,125.81,-0.014723157647427376
7369,2019-04-17,125.78,-0.00023845481281292713
7370,2019-04-18,123.6,-0.01733184926061382
7371,2019-04-22,124.24,0.005177993527508029
7372,2019-04-23,124.65,0.0033000643915004346
7373,2019-04-24,123.81,-0.00673886883273167
7374,2019-04-25,124.18,0.002988450044423052
7375,2019-04-26,126.29,0.01699146400386531
7376,2019-04-29,125.79,-0.0039591416580885275
7377,2019-04-30,126.47,0.005405835122028746
7378,2019-05-01,125.32,-0.009093065549142132
7379,2019-05-02,124.59,-0.0058250877752951125
7380,2019-05-03,122.22,-0.019022393450517705
7381,2019-05-06,123.23,0.008263786614302049
7382,2019-05-07,116.88,-0.05152965998539327
7383,2019-05-08,117.79,0.007785763175907068
7384,2019-05-09,117.68,-0.0009338653535954089
7385,2019-05-10,118.54,0.007307953772943465
7386,2019-05-13,119.36,0.0069174962038129895
7387,2019-05-14,119.95,0.004943029490616757
7388,2019-05-15,120.87,0.0076698624426845274
7389,2019-05-16,121.09,0.001820137337635419
7390,2019-05-17,118.69,-0.019819968618383088
7391,2019-05-20,115.25,-0.02898306512764337
7392,2019-05-21,117.17,0.016659436008676698
7393,2019-05-22,115.42,-0.014935563710847477
7394,2019-05-23,114.71,-0.006151446889620549
7395,2019-05-24,114.12,-0.0051434051085345045
7396,2019-05-28,112.58,-0.013494567122327439
7397,2019-05-29,111.93,-0.005773672055427226
7398,2019-05-30,112.68,0.006700616456714048
7399,2019-05-31,112.65,-0.00026624068157610203
7400,2019-06-03,112.32,-0.0029294274300932788
7401,2019-06-04,112.74,0.003739316239316226
7402,2019-06-05,112.91,0.0015078942700017528
7403,2019-06-06,113.89,0.008679479231246123
7404,2019-06-07,114.67,0.006848713671086193
7405,2019-06-10,114.38,-0.00252899625010905
7406,2019-06-11,113.81,-0.004983388704318914
7407,2019-06-12,114.66,0.0074685879975397995
7408,2019-06-13,113.33,-0.011599511599511558
7409,2019-06-14,113.33,0.0
7410,2019-06-17,115.3,0.017382864201888282
7411,2019-06-18,116.21,0.0078924544666088
7412,2019-06-19,115.93,-0.0024094312021339936
7413,2019-06-20,119.23,0.028465453290778875
7414,2019-06-21,118.46,-0.006458106181330248
7415,2019-06-24,117.09,-0.01156508526084743
7416,2019-06-25,116.83,-0.0022205141344265877
7417,2019-06-26,117.16,0.0028246169648207253
7418,2019-06-27,117.5,0.002902014339364989
7419,2019-06-28,118.12,0.005276595744680979
7420,2019-07-01,119.86,0.01473078225533353
7421,2019-07-02,122.14,0.01902219255798432
